Zenith      Alcatel_1  Alcatel_2  Starec_1  Starec_2
  +54.9000   +13.0280    +0.0000    +1.3410    +0.0000
  +55.2000   +13.0100    +0.0000    +1.4032    +0.0000
  +55.5000   +13.0100    +0.0000    +1.4530    +0.0000
  +55.8000   +13.0100    +0.0000    +1.5028    +0.0000
  +56.1000   +13.0100    +0.0000    +1.5526    +0.0000
  +56.4000   +13.0100    +0.0000    +1.6024    +0.0000
  +56.7000   +13.0100    +0.0000    +1.6522    +0.0000
  +57.0000   +13.0100    +0.0000    +1.7020    +0.0000
  +57.3000   +13.0100    +0.0000    +1.7518    +0.0000
  +57.6000   +13.0100    +0.0000    +1.8016    +0.0000
  +57.9000   +13.0100    +0.0000    +1.8514    +0.0000
  +58.2000   +13.0100    +0.0000    +1.9012    +0.0000
  +58.5000   +13.0100    +0.0000    +1.9510    +0.0000
  +58.8000   +13.0100    +0.0000    +2.0008    +0.0000
  +59.1000   +13.0100    +0.0000    +2.0506    +0.0000
  +59.4000   +13.0100    +0.0000    +2.1004    +0.0000
  +59.7000   +13.0100    +0.0000    +2.1502    +0.0000
  +60.0000   +13.0100    +0.0000    +2.2000    +0.0000
  +60.3000   +12.9416    +0.0000    +2.3902    +0.0000
  +60.6000   +12.8732    +0.0000    +2.5804    +0.0000
  +60.9000   +12.8048    +0.0000    +2.7706    +0.0000
  +61.2000   +12.7364    +0.0000    +2.9608    +0.0000
  +61.5000   +12.6680    +0.0000    +3.1510    +0.0000
  +61.8000   +12.5996    +0.0000    +3.3412    +0.0000
  +62.1000   +12.5312    +0.0000    +3.5314    +0.0000
  +62.4000   +12.4628    +0.0000    +3.7216    +0.0000
  +62.7000   +12.3944    +0.0000    +3.9118    +0.0000
  +63.0000   +12.3260    +0.0000    +4.1020    +0.0000
  +63.3000   +12.2576    +0.0000    +4.2922    +0.0000
  +63.6000   +12.1892    +0.0000    +4.4824    +0.0000
  +63.9000   +12.1208    +0.0000    +4.6726    +0.0000
  +64.2000   +12.0524    +0.0000    +4.8628    +0.0000
  +64.5000   +11.9840    +0.0000    +5.0530    +0.0000
  +64.8000   +11.9156    +0.0000    +5.2432    +0.0000
  +65.1000   +11.8266    +0.0000    +5.4030    +0.0000
  +65.4000   +11.6964    +0.0000    +5.5020    +0.0000
  +65.7000   +11.5662    +0.0000    +5.6010    +0.0000
  +66.0000   +11.4360    +0.0000    +5.7000    +0.0000
  +66.3000   +11.3058    +0.0000    +5.7990    +0.0000
  +66.6000   +11.1756    +0.0000    +5.8980    +0.0000
  +66.9000   +11.0454    +0.0000    +5.9970    +0.0000
  +67.2000   +10.9152    +0.0000    +6.0960    +0.0000
  +67.5000   +10.7850    +0.0000    +6.1950    +0.0000
  +67.8000   +10.6548    +0.0000    +6.2940    +0.0000
  +68.1000   +10.5246    +0.0000    +6.3930    +0.0000
  +68.4000   +10.3944    +0.0000    +6.4920    +0.0000
  +68.7000   +10.2642    +0.0000    +6.5910    +0.0000
  +69.0000   +10.1340    +0.0000    +6.6900    +0.0000
  +69.3000   +10.0038    +0.0000    +6.7890    +0.0000
  +69.6000    +9.8736    +0.0000    +6.8880    +0.0000
  +69.9000    +9.7434    +0.0000    +6.9870    +0.0000
  +70.2000    +9.6296    +0.0000    +7.1672    +0.0000
  +70.5000    +9.5240    +0.0000    +7.3880    +0.0000
  +70.8000    +9.4184    +0.0000    +7.6088    +0.0000
  +71.1000    +9.3128    +0.0000    +7.8296    +0.0000
  +71.4000    +9.2072    +0.0000    +8.0504    +0.0000
  +71.7000    +9.1016    +0.0000    +8.2712    +0.0000
  +72.0000    +8.9960    +0.0000    +8.4920    +0.0000
  +72.3000    +8.8904    +0.0000    +8.7128    +0.0000
  +72.6000    +8.7848    +0.0000    +8.9336    +0.0000
  +72.9000    +8.6792    +0.0000    +9.1544    +0.0000
  +73.2000    +8.5736    +0.0000    +9.3752    +0.0000
  +73.5000    +8.4680    +0.0000    +9.5960    +0.0000
  +73.8000    +8.3624    +0.0000    +9.8168    +0.0000
  +74.1000    +8.2568    +0.0000   +10.0376    +0.0000
  +74.4000    +8.1512    +0.0000   +10.2584    +0.0000
  +74.7000    +8.0456    +0.0000   +10.4792    +0.0000
  +75.0000    +7.9400    +0.0000   +10.7000    +0.0000
  +75.3000    +7.7630    +0.0000   +10.8896    +0.0000
  +75.6000    +7.5860    +0.0000   +11.0792    +0.0000
  +75.9000    +7.4090    +0.0000   +11.2688    +0.0000
  +76.2000    +7.2320    +0.0000   +11.4584    +0.0000
  +76.5000    +7.0550    +0.0000   +11.6480    +0.0000
  +76.8000    +6.8780    +0.0000   +11.8376    +0.0000
  +77.1000    +6.7010    +0.0000   +12.0272    +0.0000
  +77.4000    +6.5240    +0.0000   +12.2168    +0.0000
  +77.7000    +6.3470    +0.0000   +12.4064    +0.0000
  +78.0000    +6.1700    +0.0000   +12.5960    +0.0000
  +78.3000    +5.9930    +0.0000   +12.7856    +0.0000
  +78.6000    +5.8160    +0.0000   +12.9752    +0.0000
  +78.9000    +5.6390    +0.0000   +13.1648    +0.0000
  +79.2000    +5.4620    +0.0000   +13.3544    +0.0000
  +79.5000    +5.2850    +0.0000   +13.5440    +0.0000
  +79.8000    +5.1080    +0.0000   +13.7336    +0.0000
  +80.1000    +4.8984    +0.0000   +13.9282    +0.0000
  +80.4000    +4.6236    +0.0000   +14.1328    +0.0000
  +80.7000    +4.3488    +0.0000   +14.3374    +0.0000
